Stark Energy (J),Phase shift,Stark Energy error (J),Phase shift error,,,,,,,,,,,,,,
2.13E-14,0,9.34E-15,0.086255142,,,,,,,,,,,,,,
1.85E-13,0.094718851,9.30E-15,0.199131661,,,,,,,,,,,,,,
1.23E-12,0.3998227,1.67E-14,0.214479447,,,,,,,,,,,,,,
2.43E-12,0.765779188,2.86E-14,0.172171388,,,,,,,,,,,,,,
3.70E-12,1.163002967,3.93E-14,0.166002695,,,,,,,,,,,,,,
5.03E-12,1.446452412,5.80E-14,0.192754196,,,,,,,,,,,,,,
6.25E-12,1.676471466,4.26E-14,0.215594649,,,,,,,,,,,,,,
7.48E-12,1.672382918,5.45E-14,0.200650471,,,,,,,,,,,,,,
8.93E-12,1.691853345,5.96E-14,0.172190691,,,,,,,,,,,,,,
1.01E-11,1.764963531,6.81E-14,0.201082335,,,,,,,,,,,,,,
